"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-03","9.40",,"0.00","0.0","0.0","43","57","34","  230","  220","21.0","28.0","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-04","9.84",,"0.00","0.0","0.0","36","37","26","  340","  330","17.0","23.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-05","13.65",,"0.06","0.0","0.0","27","29","24","   70","  110","21.9","27.1","    1",,"    1",,,"    1",,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-06","13.65",,"0.02","0.0","0.0","31","33","29","  280","  260","28.0","36.0","    1","    1",,,,"    1",,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-07","7.61",,"0.00","0.0","0.0","28","32","21","  290","  280","21.9","30.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-08","9.62",,"0.21","0.1","0.0","27","32","22","  100","  100","19.9","23.9","    1",,,"    1",,"    1","    1",
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-09","7.83",,"0.00","0.0","0.0","28","30","20","  320","  320","19.9","27.1",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-10","5.82",,"0.00","0.0","0.0","24","33","16","  270","  260","15.0","19.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-11","7.38",,"0.00","0.0","0.0","29","34","25","   80","   60","17.0","21.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-12","14.54",,"0.12","0.1","0.0","27","29","24","   70","   70","25.9","34.0","    1",,,,,"    1",,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-13","14.99",,"0.02","0.4","0.0","26","28","10","  270","  270","25.9","35.1","    1",,,,,,"    1",
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-14","6.93",,"0.04","0.3","0.0","13","27","5","  110","  130","14.1","23.0","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-15","7.16",,"0.09","0.1","0.0","31","37","25","  140","  120","16.1","21.0","    1",,,,,"    1",,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-16","16.11",,"0.17","1.3","1.2","30","33","21","  280","  280","25.1","38.0","    1",,,,,"    1",,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-17","16.33",,"0.00","0.2","1.2","15","22","6","  270","  280","25.1","32.0",,,,,,,,"    1"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-18","7.38",,"0.00","0.0","1.2","9","17","3","  310","  320","13.0","17.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-19","4.70",,"0.03","0.3","1.2","15","20","12","  350","  350","12.1","14.1","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-20","14.76",,"0.02","0.6","1.2","15","23","8","  280","  270","23.0","30.0","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-21","11.41",,"0.00","0.0","1.2","23","30","17","  260","  270","17.0","21.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-22","11.86",,"0.00","0.0","0.0","21","32","12","  240","  230","21.0","27.1",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-23","9.62",,"0.00","0.0","0.0","29","40","19","  230","  230","16.1","21.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-02-24","13.87",,"0.00","0.0","0.0","38","50","32","  230","  220","25.9","36.0",,,,,,,,
